variable;unit;min;max;Definition
Emi|CO2|Carbon Capture and Storage;Mt CO2/yr;;;total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Electricity|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Gases|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use in gaseous fuel production,excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Hydrogen|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Liquids|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use in liquid fuel production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Heat|w/ couple prod;Mt CO2/yr;;;total carbon dioxide emissions captured from bioenergy use in other energy supply (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Fossil|Energy|Demand|Industry;Mt CO2/yr;;;total carbon dioxide emissions captured from fossil fuel use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|Fossil|Pe2Se;Mt CO2/yr;;;total carbon dioxide emissions captured from fossil fuel use in energy supply (IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|Carbon Capture and Storage|IndustryCCS|Process;Mt CO2/yr;;;total carbon dioxide emissions captured from industrial processes (e.g.,cement production,but not from fossil fuel burning) use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
Emi|CO2|CDR|DACCS;Mt CO2/yr;;;total carbon dioxide sequestered through direct air capture
Emi|CO2|CDR|EW;Mt CO2/yr;;;total carbon dioxide sequestered through enhanced weathering
Emissions|CO2|Land|Land-use Change|+|Regrowth;Mt CO2/yr;-1;;total carbon dioxide sequestered through land-based sinks (e.g.,afforestation,soil carbon enhancement,biochar)
Emissions|CO2|Land|Land-use Change|Regrowth|CO2-price AR;Mt CO2/yr;-1;;total carbon dioxide sequestered through afforestation
Emissions|CO2|Land|Land-use Change|Regrowth|NPI_NDC AR;Mt CO2/yr;-1;;total carbon dioxide sequestered through afforestation
Emissions|CO2|Land|Land-use Change|Regrowth|Timber Plantations;Mt CO2/yr;-1;;total carbon dioxide sequestered through afforestation
Emissions|CO2|Land|Land-use Change|Regrowth|Other;Mt CO2/yr;-1;;total carbon dioxide sequestered through other land-based mitigation techniques
Carbon Sequestration|CCU;Mt CO2/yr;;;total of CO2 captured and utilized within industry,from both fossil and biomass based sources
Tech|Liquids|Oil|Capital Costs;US$2005/kW;1.10774;;capital cost of a new oil refining plant. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Liquids|Coal|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new coal to liquids plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Liquids|Coal|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new coal to liquids plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Liquids|Biomass|Biofuel|Biodiesel|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new biomass to liquids plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Liquids|Biomass|Biofuel|BioFTRC|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new biomass to liquids plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Hydrogen|Gas|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new gas to hydrogen plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Hydrogen|Gas|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new gas to hydrogen plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Hydrogen|Electricity|Capital Costs;US$2005/kW;1.10774;;capital cost of a new hydrogen-by-electrolysis plant. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Hydrogen|Coal|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new coal to hydrogen plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Hydrogen|Coal|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new coal to hydrogen plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Hydrogen|Biomass|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new biomass to hydrogen plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Hydrogen|Biomass|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new biomass to hydrogen plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Gases|Coal|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new coal to gas plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Gases|Biomass|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new biomass to gas plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Wind|Capital Costs;US$2005/kW;1.10774;;capital cost of a new offshore wind power plants. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Solar|PV|Capital Costs;US$2005/kW;1.10774;;capital cost of a new solar PV units. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Solar|CSP|Capital Costs;US$2005/kW;1.10774;;capital cost of a new concentrated solar power plant. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Nuclear|Capital Costs;US$2005/kW;1.10774;;capital cost of a new nuclear power plants. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Hydro|Capital Costs;US$2005/kW;1.10774;;capital cost of a new hydropower plant. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Geothermal|Capital Costs;US$2005/kW;1.10774;;capital cost of a new geothermal power plant. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Gas|CC|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new gas power plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Gas|CCC|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new gas power plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Coal|CHP|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new coal power plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Coal|IGCCC|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new coal power plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Biomass|CHP|w/o CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new biomass power plant w/o CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Tech|Electricity|Biomass|IGCCC|w/ CCS|Capital Costs;US$2005/kW;1.10774;;capital cost of a new biomass power plant with CCS. If more than technology in this category is modelled,modellers should report capital costs for the technology that is used most
Concentration|CH4;ppb;;;atmospheric concentration of methane
Concentration|CO2;ppm;;;atmospheric concentration of carbon dioxide
Concentration|N2O;ppb;;;atmospheric concentration of nitrous oxide
Forcing;W/m2;;;radiative forcing from all greenhouse gases and forcing agents,including contributions from albedo change,nitrate,and mineral dust
Forcing|Aerosol;W/m2;;;total radiative forcing from aerosols via both aerosol-cloud and aerosol-radiative effects
Forcing|Aerosol|BC;W/m2;;;radiative forcing from black carbon via aerosol-radiative effects
Forcing|Aerosol|Cloud Indirect;W/m2;;;radiative forcing from indirect effects of all anthropogenic aerosols on clouds (i.e. aerosol-cloud effects)
Forcing|Aerosol|OC;W/m2;;;radiative forcing from organic carbon via aerosol-radiative effects
Forcing|Aerosol|Other;W/m2;;;total radiative forcing from aerosols not covered in the other categories (including aerosols from biomass burning) via aerosol-radiative effects
Forcing|Aerosol|Sulfate Direct;W/m2;;;radiative forcing from direct sulfate effects (i.e. aerosol-radiative effects)
Forcing|Albedo Change and Mineral Dust;W/m2;;;total radiative forcing from albedo change and mineral dust
Forcing|CH4;W/m2;;;total radiative forcing from CH4
Forcing|CO2;W/m2;;;total radiative forcing from CO2
Forcing|F-Gases;W/m2;;;total radiative forcing from F-gases
Forcing|Kyoto Gases;W/m2;;;radiative forcing of the six Kyoto gases (CO2,CH4,N2O,SF6,HFCs,PFCs)
Forcing|Montreal Gases;W/m2;;;total radiative forcing from Montreal gases
Forcing|N2O;W/m2;;;total radiative forcing from N2O
Forcing|Other;W/m2;;;total radiative forcing from factors not covered in other categories (including stratospheric ozone and stratospheric water vapor)
Forcing|Tropospheric Ozone;W/m2;;;total radiative forcing from tropospheric ozone
Temperature|Global Mean;K;;;change in global mean surface temperature relative to pre-industrial,reported by the model. Please specify which climate model was used in comments tab
Investments;billion US$2005/yr;1.10774;;net additions to the physical capital stock
Consumption;billion US$2005/yr;1.10774;;total consumption of all goods,by all consumers in a region
GDP|MER;billion US$2005/yr;1.10774;;GDP at market exchange rate
GDP|PPP;billion US$2005/yr;1.10774;;GDP at purchasing power parity
Interest Rate t/(t-1)|Real;;100;;Real interest rate or return on capital that is relevant for energy system investments
Policy Cost|Additional Total Energy System Cost;billion US$2005/yr;1.10774;;additional energy system cost associated with the policy
Policy Cost|Consumption + Current Account Loss;billion US$2005/yr;-1.10774;glo;consumption loss in a policy scenario compared to the corresponding baseline (losses should be reported as negative numbers)
Policy Cost|GDP Loss;billion US$2005/yr;-1.10774;;GDP loss in a policy scenario,including international transfers,compared to the corresponding baseline (losses should be reported as negative numbers). Transfers included if present
Policy Cost|GDP Loss|w/o transfers;billion US$2005/yr;-1.10774;;GDP loss (without international transfers) in a policy scenario compared to the corresponding baseline (losses should be reported as negative numbers).
SDG|SDG02|Agricultural commodity price index;index wrt 2010;;;weighted average price index of non-energy crops and livestock products
Price|Carbon;US$2005/t CO2;1.10774;;price of carbon (for regional aggregrates the weighted price of carbon by subregion should be used)
Price|Final Energy|Electricity|Buildings;US$2005/GJ;1.10774;;electricity price at the final level in the residential sector. Prices should include the effect of carbon prices.
Price|Final Energy|Gases|Buildings;US$2005/GJ;1.10774;;natural gas price at the final level in the residential sector. Prices should include the effect of carbon prices.
Price|Final Energy|Heating Oil|Buildings;US$2005/GJ;1.10774;;light fuel oil price at the final level in the residential sector. Prices should include the effect of carbon prices.
Price|Final Energy|Solids|Buildings;US$2005/GJ;1.10774;;biomass price at the final level in the residential sector. Prices should include the effect of carbon prices.
Price|Final Energy|Solids|Buildings;US$2005/GJ;1.10774;;coal price at the final level in the residential sector. Prices should include the effect of carbon prices.
Price|Biomass|World Market;US$2005/GJ;1.10774;;biomass producer price
Price|Coal|World Market;US$2005/GJ;1.10774;;coal price at the primary level (i.e. the spot price at the global or regional market)
Price|Gas|World Market;US$2005/GJ;1.10774;;natural gas price at the primary level (i.e. the spot price at the global or regional market)
Price|Oil|World Market;US$2005/GJ;1.10774;;crude oil price at the primary level (i.e. the spot price at the global or regional market)
Price|Secondary Energy|Electricity|Moving Avg;US$2005/GJ;1.10774;;electricity price at the secondary level,i.e. for large scale consumers (e.g. aluminum production).  Prices should include the effect of carbon prices.
Price|Secondary Energy|Gases;US$2005/GJ;1.10774;;natural gas price at the secondary level,i.e. for large scale consumers (e.g. gas power plant). Prices should include the effect of carbon prices.
Price|Secondary Energy|Hydrogen;US$2005/GJ;1.10774;;hydrogen price at the secondary level. Prices should include the effect of carbon prices
Price|Secondary Energy|Liquids;US$2005/GJ;1.10774;;liquid fuel price at the secondary level,i.e. petrol,diesel,or weighted average
Price|Secondary Energy|Liquids|Biomass;US$2005/GJ;1.10774;;biofuel price at the secondary level,i.e. for biofuel consumers
Price|Light Fuel Oil|Secondary Level;US$2005/GJ;1.10774;;light fuel oil price at the secondary level,i.e. for large scale consumers (e.g. oil power plant). Prices should include the effect of carbon prices.
Emi|BC;Mt BC/yr;;;total black carbon emissions
Emi|BC|Land Use;Mt BC/yr;;;black carbon emissions from agriculture,forestry and other land use (IPCC category 3)
Emi|BC|Land Use|Agriculture;Mt BC/yr;;;BC|AFOLU|Agric emissions from agriculture
Emi|BC|Energy Supply and Demand;Mt BC/yr;;;black carbon emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|BC|Energy Demand|ResCom;Mt BC/yr;;;black carbon emissions from fuel combustion in residential,commercial,institutional sectors and agriculture (IPCC category 1A4a,1A4b)
Emi|BC|Energy Demand|Industry;Mt BC/yr;;;black carbon emissions from fuel combustion in industry (IPCC category 1A2)
Emi|BC|Energy Demand|Transport;Mt BC/yr;;;black carbon emissions from fuel combustion in transportation sector (IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|BC|Energy Supply;Mt BC/yr;;;black carbon emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a),other energy conversion (e.g. refineries,synfuel production,solid fuel processing,IPCC category 1Ab,1Ac),incl. pipeline transportation (IPCC category 1A3ei),fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emi|BC|Solvents;Mt BC/yr;;;black carbon emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emi|BC|Waste;Mt BC/yr;;;
Emi|CH4;Mt CH4/yr;;;total CH4 emissions
Emi|CH4|Land Use;Mt CH4/yr;;;CH4 emissions from agriculture,forestry and other land use (IPCC category 3)
Emi|CH4|Land Use;Mt CH4/yr;;;CH4|AFOLU|Agric emissions from agriculture
Emi|CH4|Land Use|+|Enteric fermentation;Mt CH4/yr;;;
Emi|CH4|Land Use|+|Animal waste management;Mt CH4/yr;;;
Emi|CH4|Land Use|+|Enteric fermentation;Mt CH4/yr;;;
Emi|CH4|Land Use|+|Animal waste management;Mt CH4/yr;;;
Emi|CH4|Land Use|+|Rice;Mt CH4/yr;;;
Emi|CH4|Energy Supply and Demand;Mt CH4/yr;;;CH4 emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|CH4|Energy Supply;Mt CH4/yr;;;CH4 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a),other energy conversion (e.g. refineries,synfuel production,solid fuel processing,IPCC category 1Ab,1Ac),incl. pipeline transportation (IPCC category 1A3ei),fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emi|CH4|Other;Mt CH4/yr;;;CH4 emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emi|CH4|Waste;Mt CH4/yr;;;
Emi|CO;Mt CO/yr;;;total CO emissions
Emi|CO2;Mt CO2/yr;;;total net-CO2 emissions from all sources
Emi|CO2|Land-Use Change;Mt CO2/yr;;;CO2 emissions from agriculture,forestry and other land use (IPCC category 3)
Emi|CO2|Energy;Mt CO2/yr;;;CO2 emissions from energy use on supply and demand side (IPCC category 1A,1B)
Emi|CO2|Fossil Fuels and Industry;Mt CO2/yr;;;CO2 emissions from energy use on supply and demand side (IPCC category 1A,1B) and from industrial processes (IPCC categories 2A,B,C,E)
Emi|CO2|Energy|Demand;Mt CO2/yr;;;CO2 emissions from fuel combustion in industry (IPCC category 1A2),residential,commercial,institutional sectors and agriculture,forestry,fishing (AFOFI) (IPCC category 1A4a,1A4b,1A4c),and transportation sector (IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|CO2|Buildings|Direct;Mt CO2/yr;;;CO2 emissions from fuel combustion in residential,commercial,institutional sectors (IPCC category 1A4a,1A4b)
Emi|CO2|Industry|Direct;Mt CO2/yr;;;CO2 emissions from fuel combustion in industry (IPCC category 1A2)
Emi|CO2|Transport|Demand;Mt CO2/yr;;;CO2 emissions from fuel combustion in transportation sector (IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|CO2|Transport|Pass|Aviation|Domestic|Demand;Mt CO2/yr;;;carbon dioxide emissions from transport by passenger aviation mode
Emi|CO2|Transport|Freight|Short-Medium Distance|Demand;Mt CO2/yr;;;CO2 emissions from fuel combustion in freight transportation sector (part of IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|CO2|Transport|Freight|Navigation|Demand;Mt CO2/yr;;;carbon dioxide emissions from transport by freight maritime mode
Emi|CO2|Transport|Pass|Short-Medium Distance|Demand;Mt CO2/yr;;;CO2 emissions from fuel combustion in passenger transportation sector (part of IPCC category 1A3)
Emi|CO2|Transport|Rail|Demand;Mt CO2/yr;;;carbon dioxide emissions from transport by rail mode
Emi|CO2|Transport|Freight|Rail|Demand;Mt CO2/yr;;;carbon dioxide emissions from transport by freight rail mode
Emi|CO2|Transport|Pass|Rail|Demand;Mt CO2/yr;;;carbon dioxide emissions from transport by passenger rail mode
Emi|CO2|Transport|Road|Demand;Mt CO2/yr;;;carbon dioxide emissions from road transport vehicles
Emi|CO2|Transport|Freight|Road|Demand;Mt CO2/yr;;;carbon dioxide emissions from road freight transport vehicles
Emi|CO2|Transport|Pass|Road|Demand;Mt CO2/yr;;;carbon dioxide emissions from road transport passenger vehicles
Emi|CO2|Transport|Pass|Road|LDV|Two-Wheelers|Demand;Mt CO2/yr;;;carbon dioxide emissions from road transport passenger 2W&3W vehicles
Emi|CO2|Transport|Pass|Road|Bus|Demand;Mt CO2/yr;;;carbon dioxide emissions from road transport passenger Buses
Emi|CO2|Transport|Pass|Road|LDV|Demand;Mt CO2/yr;;;carbon dioxide emissions from road transport passenger LDVs
Emi|CO2|Energy|Supply;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: electricity and heat production and distribution (IPCC category 1A1a),other energy conversion (e.g. refineries,synfuel production,solid fuel processing,IPCC category 1Ab,1Ac),incl. pipeline transportation (IPCC category 1A3ei),fugitive emissions from fuels (IPCC category 1B) and emissions from carbon dioxide transport and storage (IPCC category 1C)
Emi|CO2|Energy|Supply|Electricity;Mt CO2/yr;;;CO2 emissions from electricity and CHP production and distribution (IPCC category 1A1ai and 1A1aii)
Emi|CO2|Energy|Supply|Gases|w/ couple prod|Before IndustryCCS;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: gaseous fuel extraction and processing (e.g. natural gas extraction production,IPCC category 1B2b,parts of 1A1cii)
Emi|CO2|Energy|Supply|Heat|w/ couple prod;Mt CO2/yr;;;CO2 emissions from heat production and distribution (IPCC category 1A1aiii)
Emi|CO2|Energy|Supply|Liquids|w/ couple prod|Before IndustryCCS;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: liquid fuel extraction and processing (e.g. oil production,refineries,synfuel production,IPCC category 1A1b,parts of 1A1cii,1B2a)
Emi|CO2|Energy|Supply|Hydrogen|w/ couple prod;Mt CO2/yr;;;CO2 emissions from fuel combustion in other energy supply sectors (please provide a definition of other sources in this category in the 'comments' tab)
Emi|CO2|Energy|Supply|Solids|w/ couple prod|Before IndustryCCS;Mt CO2/yr;;;CO2 emissions from fuel combustion and fugitive emissions from fuels: solid fuel extraction and processing (IPCC category 1A1ci,parts of 1A1cii,1B1)
Emi|CO2|Fossil Fuels and Industry|Cement process;Mt CO2/yr;;;CO2 emissions from industrial processes (IPCC categories 2A,B,C,E)
Emi|CO|Land Use;Mt CO/yr;;;Land Use based carbon monoxide emissions
Emi|CO|Energy Supply and Demand;Mt CO/yr;;;carbon monoxide emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|CO|Energy Demand|ResCom;Mt CO/yr;;;carbon monoxide emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A,1A4B)
Emi|CO|Energy Demand|Industry;Mt CO/yr;;;carbon monoxide emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5)
Emi|CO|Energy Demand|Transport;Mt CO/yr;;;carbon monoxide emissions from Combustion in Transportation Sector (IPCC category 1A3)
Emi|CO|Energy Supply;Mt CO/yr;;;carbon monoxide emissions from Extraction and Distribution of Fossil Fuels (including fugitive emissions,IPCC category 1B)
Emi|CO|Waste;Mt CO/yr;;;
Emi|F-Gases;Mt CO2-equiv/yr;;;total F-gas emissions,including sulfur hexafluoride (SF6),hydrofluorocarbons (HFCs),perfluorocarbons (PFCs) (preferably use 100-year GWPs from AR4 for aggregation of different F-gases
Emi|HFC;kt HFC134a-equiv/yr;;;total emissions of hydrofluorocarbons (HFCs),provided as aggregate HFC134a-equivalents
Emi|Kyoto Gases;Mt CO2-equiv/yr;;;total Kyoto GHG emissions,including CO2,CH4,N2O and F-gases (preferably use 100-year GWPs from AR4 for aggregation of different gases
Emi|N2O;kt N2O/yr;;;total N2O emissions
Emi|N2O|Land Use;kt N2O/yr;;;N2O emissions from agriculture,forestry and other land use (IPCC category 3)
Emi|N2O|Land Use;kt N2O/yr;;;N2O|AFOLU|Agric emissions from agriculture
Emi|N2O|Land Use|+|Animal Waste Management;kt N2O/yr;;;
Emi|N2O|Land Use|+|Agricultural Soils;kt N2O/yr;;;
Emi|N2O|Energy Supply and Demand;kt N2O/yr;;;N2O emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|N2O|Energy Demand|Transport;kt N2O/yr;;;N2O emissions from fuel combustion in the transportation sector (part of IPCC category 1A3),excluding pipeline emissions (IPCC category 1A3ei)
Emi|N2O|Industry;kt N2O/yr;;;N2O emissions from industrial processes
Emi|N2O|Waste;kt N2O/yr;;;
Emi|NH3;Mt NH3/yr;;;total ammonium (NH3) emissions
Emi|NH3|Land Use;Mt NH3/yr;;;land use based ammonia Emissions
Emi|NH3|Energy Supply and Demand;Mt NH3/yr;;;ammonia emissions from energy use on supply and demand side,including fugitive emissions from fuels (IPCC category 1A,1B)
Emi|NH3|Energy Demand|ResCom;Mt NH3/yr;;;ammonia Emissions from Combustion in Residential and Commercial/Institutional Sectors (IPCC 1A4A,1A4B)
Emi|NH3|Energy Demand|Industry;Mt NH3/yr;;;ammonia Emissions from Combustion in industry (IPCC 1A2) and industrial processes (IPCC 2C1-2C5)
Emi|NH3|Energy Demand|Transport;Mt NH3/yr;;;ammonia Emissions from Combustion in Transportation Sector (IPCC category 1A3)
